                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.46034,                0.34051,                0.92863,                0.86241,                0.90139,                0.92456,                0.83799,                0.45095,                0.40726,                0.87637,             0.00049025,             0.00049025,             0.00049025
                     63,                0.46081,                 0.3492,                0.92369,                0.85668,                0.88546,                0.92076,                0.83683,                0.44741,                0.43111,                0.87744,              0.0004655,              0.0004655,              0.0004655
                     64,                0.46459,                0.34751,                0.92554,                0.85912,                0.89288,                0.92072,                0.83547,                0.45111,                0.44345,                0.88328,             0.00044075,             0.00044075,             0.00044075
                     65,                0.45553,                0.33311,                0.92499,                  0.882,                0.90081,                0.92951,                0.84399,                0.45875,                0.40461,                0.88446,               0.000416,               0.000416,               0.000416
                     66,                0.46189,                0.34871,                0.92811,                0.87038,                0.88952,                0.92698,                0.84029,                 0.4572,                0.43126,                0.88199,             0.00039125,             0.00039125,             0.00039125
                     67,                0.45032,                0.33352,                0.91978,                0.87856,                0.89353,                0.92854,                0.84216,                0.45241,                0.40662,                0.88216,              0.0003665,              0.0003665,              0.0003665
                     68,                0.45227,                0.33819,                0.92587,                0.89993,                0.87749,                0.92909,                0.84189,                0.45912,                0.40767,                0.88125,             0.00034175,             0.00034175,             0.00034175
                     69,                0.45041,                0.32581,                0.92019,                0.88655,                0.89542,                0.92916,                0.84524,                 0.4571,                0.40642,                0.87615,               0.000317,               0.000317,               0.000317
                     70,                0.45496,                0.32964,                0.92815,                0.84858,                 0.9243,                 0.9297,                0.84347,                0.46602,                0.41731,                0.88487,             0.00029225,             0.00029225,             0.00029225
                     71,                0.40695,                0.30557,                0.89525,                0.85603,                0.91205,                0.91852,                0.82816,                0.46402,                0.42635,                0.88527,              0.0002675,              0.0002675,              0.0002675
                     72,                0.40076,                0.27691,                0.88237,                0.86744,                0.88446,                0.91036,                0.82071,                0.46394,                0.45312,                0.88295,             0.00024275,             0.00024275,             0.00024275
                     73,                 0.3885,                0.26411,                0.87623,                0.87573,                0.89839,                0.92649,                0.84047,                0.44729,                0.41079,                0.87286,               0.000218,               0.000218,               0.000218
                     74,                0.38791,                0.25876,                0.87678,                0.88447,                0.88745,                0.92456,                0.83778,                0.46498,                0.41993,                0.88705,             0.00019325,             0.00019325,             0.00019325
                     75,                0.38959,                0.25658,                0.87532,                0.88735,                0.87649,                0.92428,                0.84057,                0.45307,                0.42244,                0.88186,              0.0001685,              0.0001685,              0.0001685
                     76,                0.38177,                 0.2495,                0.87724,                 0.8881,                0.87745,                0.92475,                0.84326,                 0.4473,                 0.4179,                0.88121,             0.00014375,             0.00014375,             0.00014375
                     77,                0.38111,                 0.2535,                0.87391,                0.90771,                0.85458,                0.92531,                0.84342,                0.44983,                0.41918,                0.87494,               0.000119,               0.000119,               0.000119
                     78,                0.37498,                0.24335,                0.87253,                 0.8961,                0.87849,                0.92679,                0.84055,                0.46087,                0.42274,                0.88103,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.37802,                0.24243,                0.87605,                0.87448,                0.89512,                0.92621,                 0.8432,                0.44583,                0.42066,                0.87574,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.37054,                0.24062,                0.86649,                0.88331,                0.89243,                0.92876,                0.84703,                0.44743,                 0.4203,                0.87709,              4.475e-05,              4.475e-05,              4.475e-05
