                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.42275,                0.34926,                0.94239,                0.86203,                0.87122,                0.90217,                0.80648,                0.49959,                0.48514,                0.91924,             0.00041563,             0.00041563,             0.00041563
                     64,                0.41486,                0.34037,                 0.9313,                 0.8362,                0.90509,                0.89621,                0.80124,                0.49254,                0.49494,                 0.9135,             0.00039321,             0.00039321,             0.00039321
                     65,                0.41466,                 0.3391,                0.93346,                0.85385,                0.89243,                 0.9074,                0.81129,                0.48862,                0.47067,                0.90859,             0.00037188,             0.00037188,             0.00037188
                     66,                0.41654,                0.34135,                0.93689,                0.86106,                0.87655,                0.90731,                 0.8109,                0.50101,                0.48748,                0.91918,             0.00035168,             0.00035168,             0.00035168
                     67,                0.40794,                0.33697,                 0.9311,                0.85219,                 0.8786,                0.90883,                0.81297,                0.49774,                0.49899,                0.91831,             0.00033262,             0.00033262,             0.00033262
                     68,                0.40711,                0.33652,                0.93006,                0.84798,                0.89641,                0.90086,                0.80722,                0.49031,                0.49081,                0.91105,             0.00031475,             0.00031475,             0.00031475
                     69,                0.40381,                0.33344,                0.92655,                0.86329,                0.88944,                0.90664,                0.81513,                0.48689,                 0.4729,                0.90784,             0.00029809,             0.00029809,             0.00029809
                     70,                0.40596,                0.33262,                0.92952,                0.86591,                0.88115,                0.91015,                0.81144,                0.49912,                0.47371,                0.91477,             0.00028267,             0.00028267,             0.00028267
                     71,                0.44888,                0.39357,                0.94084,                0.86753,                0.89343,                0.90973,                0.81052,                 0.4856,                0.43684,                0.90838,             0.00026851,             0.00026851,             0.00026851
                     72,                0.43834,                0.34353,                0.92144,                0.85028,                0.90339,                0.91227,                0.81719,                0.48133,                0.44951,                0.90681,             0.00025563,             0.00025563,             0.00025563
                     73,                0.42196,                0.33473,                0.91891,                0.86218,                0.89343,                0.91241,                0.81966,                0.47767,                0.44094,                0.91144,             0.00024405,             0.00024405,             0.00024405
                     74,                0.42271,                0.32718,                0.92185,                0.84927,                0.90353,                0.91627,                0.82183,                0.48456,                0.43964,                0.90428,             0.00023379,             0.00023379,             0.00023379
                     75,                0.42234,                0.32013,                0.91461,                0.87291,                0.88546,                0.91545,                0.82678,                 0.4743,                0.43195,                0.89792,             0.00022487,             0.00022487,             0.00022487
                     76,                0.41553,                0.30629,                0.91275,                0.85111,                0.90528,                0.91685,                0.82675,                0.47237,                0.44011,                 0.8969,             0.00021729,             0.00021729,             0.00021729
                     77,                0.41308,                0.31764,                0.90993,                0.86843,                0.89343,                0.90927,                0.82377,                0.47199,                0.43425,                0.89683,             0.00021108,             0.00021108,             0.00021108
                     78,                0.40615,                0.30032,                0.90361,                0.86606,                0.89243,                0.91635,                0.82642,                0.47406,                0.44661,                0.89831,             0.00020624,             0.00020624,             0.00020624
                     79,                0.40741,                0.29971,                0.90675,                0.86589,                0.89389,                0.90964,                0.82098,                0.47528,                0.44417,                0.89814,             0.00020277,             0.00020277,             0.00020277
                     80,                0.40318,                0.29953,                0.89869,                0.87145,                0.89124,                0.91578,                0.82242,                0.48293,                0.44668,                0.90225,             0.00020069,             0.00020069,             0.00020069
